CI,CII,HI,HII,RI,RII,TI,TII,O,Mb,Mc,N
11,11,11,11,11,11,11,11,11,11,11,11
12,12,12,12,12,12,12,12,12,12,12,12
12,12,13,13,13,13,13,13,13,13,13,13
0,0,0,0,14,14,0,0,0,0,0,14
0,0,0,0,0,15,0,0,0,15,0,15
0,0,0,0,0,0,0,16,0,0,16,16
11,11,11,11,11,11,11,11,22,22,22,22
12,12,13,13,13,13,13,13,23,23,23,23
0,0,0,0,-1*14,-1*14,0,0,0,0,0,24
0,0,0,0,0,-1*15,0,0,0,25,0,25
0,0,0,0,0,0,0,-1*16,0,0,26,26
11,11,33,33,33,33,33,33,33,33,33,33
0,0,0,0,0,0,0,0,0,0,0,34
0,0,0,0,0,0,0,0,0,35,0,35
0,0,0,0,0,0,0,0,0,0,36,36
44,44,44,44,44,44,44,44,44,44,44,44
0,0,0,0,0,0,0,0,0,0,45,45
0,0,0,0,0,-1*15,0,0,0,46,0,46
44,44,44,44,44,44,44,44,55,55,55,55
0,0,0,0,14,14,0,0,0,0,0,56
44,44,A*,A*,A*,A*,66,66,66,66,66,66
